,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_cdiv_steps,param_hidden_layers,param_learning_rate,param_max_steps,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,116.17745876312256,0.0,5.896531105041504,0.0,16,1,"(16,)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.04870118402591606,-0.04870118402591606,0.0,46
1,113.44888210296631,0.0,6.116291284561157,0.0,16,1,"(16,)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.011293989722930487,-0.011293989722930487,0.0,28
2,112.33073735237122,0.0,6.414387226104736,0.0,16,1,"(16,)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.011910838181785618,-0.011910838181785618,0.0,29
3,172.21454644203186,0.0,6.844091176986694,0.0,16,1,"(16, 4, 2)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.05844953709168482,-0.05844953709168482,0.0,48
4,174.05307602882385,0.0,6.93834662437439,0.0,16,1,"(16, 4, 2)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.013021370579756896,-0.013021370579756896,0.0,31
5,171.97058701515198,0.0,6.862197160720825,0.0,16,1,"(16, 4, 2)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.04194407657636964,-0.04194407657636964,0.0,42
6,217.47123765945435,0.0,7.093525171279907,0.0,16,1,"(32, 32, 32)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.02512698538205088,-0.02512698538205088,0.0,35
7,216.91487646102905,0.0,7.003857612609863,0.0,16,1,"(32, 32, 32)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.008948755850138893,-0.008948755850138893,0.0,25
8,219.99278211593628,0.0,7.0929038524627686,0.0,16,1,"(32, 32, 32)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.012628289048316994,-0.012628289048316994,0.0,30
9,143.02819633483887,0.0,9.260456323623657,0.0,16,1,"(100,)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.03766304973749736,-0.03766304973749736,0.0,41
10,146.07897996902466,0.0,8.799274206161499,0.0,16,1,"(100,)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0024915792277856834,-0.0024915792277856834,0.0,11
11,148.1206648349762,0.0,8.882097244262695,0.0,16,1,"(100,)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.009250291421156773,-0.009250291421156773,0.0,27
12,131.15173053741455,0.0,6.607267141342163,0.0,16,10,"(16,)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.03754548157424268,-0.03754548157424268,0.0,40
13,134.24807929992676,0.0,6.468693017959595,0.0,16,10,"(16,)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0044135734576105715,-0.0044135734576105715,0.0,17
14,132.01292276382446,0.0,6.267953634262085,0.0,16,10,"(16,)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.002749388643169492,-0.002749388643169492,0.0,13
15,195.85945081710815,0.0,6.014196872711182,0.0,16,10,"(16, 4, 2)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.04744078819531806,-0.04744078819531806,0.0,45
16,200.2111234664917,0.0,6.035821199417114,0.0,16,10,"(16, 4, 2)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.008816913546344524,-0.008816913546344524,0.0,24
17,191.10273122787476,0.0,6.110644817352295,0.0,16,10,"(16, 4, 2)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.009021519561187175,-0.009021519561187175,0.0,26
