,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_cdiv_steps,param_hidden_layers,param_learning_rate,param_max_steps,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,1802.7409942150116,0.0,21058.7901866436,0.0,64,1,"(484,)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484,), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.033828707350946494,-0.033828707350946494,0.0,1
1,1855.6881637573242,0.0,17682.94420194626,0.0,64,1,"(484,)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484,), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.047473385536921604,-0.047473385536921604,0.0,33
2,1845.9249339103699,0.0,17544.905701875687,0.0,64,1,"(484,)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484,), 'learning_rate': 0.001, 'max_steps': 50000}",-0.04646070794477752,-0.04646070794477752,0.0,32
3,3184.55775308609,0.0,48319.83934926987,0.0,64,1,"(484, 242, 100)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484, 242, 100), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.034126561670335,-0.034126561670335,0.0,4
4,3194.879451751709,0.0,46070.35483598709,0.0,64,1,"(484, 242, 100)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484, 242, 100), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.03412684143060528,-0.03412684143060528,0.0,5
5,3066.3515837192535,0.0,49478.49588370323,0.0,64,1,"(484, 242, 100)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (484, 242, 100), 'learning_rate': 0.001, 'max_steps': 50000}",-0.03414508232470477,-0.03414508232470477,0.0,17
6,1888.7970509529114,0.0,12274.214058876038,0.0,64,1,"(256, 256)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (256, 256), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.03413101809781557,-0.03413101809781557,0.0,13
7,1969.8532919883728,0.0,14343.166537284851,0.0,64,1,"(256, 256)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (256, 256), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.03416234616584928,-0.03416234616584928,0.0,20
8,1965.8434572219849,0.0,13588.937680482864,0.0,64,1,"(256, 256)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (256, 256), 'learning_rate': 0.001, 'max_steps': 50000}",-0.042852741200458615,-0.042852741200458615,0.0,30
9,2258.7750415802,0.0,59241.68853068352,0.0,64,1,"(1000,)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (1000,), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.03410237591793314,-0.03410237591793314,0.0,2
10,2254.4782299995422,0.0,61974.83210229874,0.0,64,1,"(1000,)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (1000,), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.06658251351817082,-0.06658251351817082,0.0,41
11,2260.7952139377594,0.0,61734.6443772316,0.0,64,1,"(1000,)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 1, 'hidden_layers': (1000,), 'learning_rate': 0.001, 'max_steps': 50000}",-0.04491596971829259,-0.04491596971829259,0.0,31
12,3515.6265172958374,0.0,20812.459335803986,0.0,64,10,"(484,)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484,), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.03571478159464159,-0.03571478159464159,0.0,23
13,3519.9728724956512,0.0,20968.09693455696,0.0,64,10,"(484,)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484,), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.07763858273003785,-0.07763858273003785,0.0,44
14,3515.251486301422,0.0,21571.553199768066,0.0,64,10,"(484,)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484,), 'learning_rate': 0.001, 'max_steps': 50000}",-0.06436498501419831,-0.06436498501419831,0.0,39
15,5495.974778652191,0.0,47923.15051341057,0.0,64,10,"(484, 242, 100)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484, 242, 100), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.03412777383980997,-0.03412777383980997,0.0,7
16,5479.605547904968,0.0,47878.13074994087,0.0,64,10,"(484, 242, 100)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484, 242, 100), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.03412777383980997,-0.03412777383980997,0.0,7
17,5485.016504764557,0.0,45792.88882422447,0.0,64,10,"(484, 242, 100)",0.001,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (484, 242, 100), 'learning_rate': 0.001, 'max_steps': 50000}",-0.036800690774355375,-0.036800690774355375,0.0,26
18,4234.046610355377,0.0,12437.192278623581,0.0,64,10,"(256, 256)",1e-05,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (256, 256), 'learning_rate': 1e-05, 'max_steps': 50000}",-0.03415852222090311,-0.03415852222090311,0.0,19
19,4263.534879207611,0.0,12032.896253585815,0.0,64,10,"(256, 256)",0.0001,50000,"{'batch_size': 64, 'cdiv_steps': 10, 'hidden_layers': (256, 256), 'learning_rate': 0.0001, 'max_steps': 50000}",-0.03412186006748555,-0.03412186006748555,0.0,3
