,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_convergence_interval,param_gate_arg2,param_gate_fn,param_init_scale,param_n_iters,param_n_ops,param_n_ops_score,param_n_samples,param_n_samples_score,param_n_sigmas,param_stepsize,param_turbo,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,26243.91263961792,0.0,66.24127960205078,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.03434998604647809,-0.03434998604647809,0.0,7
1,26533.640655755997,0.0,46.85382294654846,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.03434239406051213,-0.03434239406051213,0.0,4
2,26984.053597211838,0.0,28.962324142456055,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.03451002057093221,-0.03451002057093221,0.0,10
3,26875.604837417603,0.0,36.486600160598755,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.03434998765898013,-0.03434998765898013,0.0,8
4,26914.183161973953,0.0,34.87034201622009,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.0343414239483044,-0.0343414239483044,0.0,3
5,26928.982135772705,0.0,37.26931691169739,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.034522852748570455,-0.034522852748570455,0.0,12
6,26789.544637203217,0.0,40.96041011810303,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.03434876379229901,-0.03434876379229901,0.0,6
7,27054.305970430374,0.0,26.89660120010376,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.03434071833278111,-0.03434071833278111,0.0,2
8,27147.78255033493,0.0,25.08874773979187,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.03450517020847768,-0.03450517020847768,0.0,9
9,26597.960787296295,0.0,42.76371479034424,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.03434553110966958,-0.03434553110966958,0.0,5
10,26938.171302318573,0.0,36.17767119407654,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.03433394500176037,-0.03433394500176037,0.0,1
11,27002.627371549606,0.0,29.318121194839478,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.03451754703504674,-0.03451754703504674,0.0,11
