,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_components,param_n_iter,param_score_fn,param_verbose,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,1951.3355424404144,0.0,24214.09207868576,0.0,32,1e-05,100,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 1e-05, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.07426985387079797,-0.07426985387079797,0.0,11
1,3560.828018426895,0.0,30245.11890745163,0.0,32,1e-05,250,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 1e-05, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.08044388087465044,-0.08044388087465044,0.0,14
2,7836.011785984039,0.0,41254.6265399456,0.0,32,1e-05,500,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 1e-05, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.05666753757579926,-0.05666753757579926,0.0,8
3,1957.5602037906647,0.0,24338.519215345383,0.0,32,0.0001,100,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.0001, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.11174085949920703,-0.11174085949920703,0.0,16
4,3484.154987335205,0.0,30230.204226255417,0.0,32,0.0001,250,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.0001, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.061213392366827164,-0.061213392366827164,0.0,10
5,7734.900670289993,0.0,41356.97717523575,0.0,32,0.0001,500,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.0001, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.14689113661501318,-0.14689113661501318,0.0,17
6,1959.6959209442139,0.0,25573.041295051575,0.0,32,0.001,100,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.001, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.221998004461422,-0.221998004461422,0.0,18
7,3566.034388065338,0.0,31412.946608304977,0.0,32,0.001,250,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.001, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.014923019993416537,-0.014923019993416537,0.0,1
8,7708.598051309586,0.0,41510.48037147522,0.0,32,0.001,500,1000,mmd,3,"{'batch_size': 32, 'learning_rate': 0.001, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.01908993580677266,-0.01908993580677266,0.0,3
9,1631.959302663803,0.0,25533.40785217285,0.0,64,1e-05,100,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 1e-05, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.07783370347344744,-0.07783370347344744,0.0,13
10,2819.4352004528046,0.0,30234.396452903748,0.0,64,1e-05,250,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 1e-05, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.075400561670885,-0.075400561670885,0.0,12
11,5825.799414873123,0.0,40510.54653143883,0.0,64,1e-05,500,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 1e-05, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.06098521540807359,-0.06098521540807359,0.0,9
12,1589.844438791275,0.0,24304.439155101776,0.0,64,0.0001,100,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.0001, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.0920016541067577,-0.0920016541067577,0.0,15
13,2778.250833272934,0.0,30825.072464704514,0.0,64,0.0001,250,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.0001, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.030603035988019667,-0.030603035988019667,0.0,7
14,5553.181461572647,0.0,42083.5495057106,0.0,64,0.0001,500,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.0001, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.026779462208777416,-0.026779462208777416,0.0,6
15,1606.4815723896027,0.0,25690.035691976547,0.0,64,0.001,100,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.001, 'n_components': 100, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.021903315467147483,-0.021903315467147483,0.0,4
16,2795.6208357810974,0.0,31487.941558122635,0.0,64,0.001,250,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.001, 'n_components': 250, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.015969057765144987,-0.015969057765144987,0.0,2
17,5341.340413808823,0.0,40658.15895533562,0.0,64,0.001,500,1000,mmd,3,"{'batch_size': 64, 'learning_rate': 0.001, 'n_components': 500, 'n_iter': 1000, 'score_fn': 'mmd', 'verbose': 3}",-0.022342298864482416,-0.022342298864482416,0.0,5
