sigma,loss,loss_std,model
1.73803,0.000209012713427,8.446112588893875e-05,IqpSimulator
1.85919,0.000263404501326,6.908219023283304e-05,IqpSimulator
1.98034,0.0002707675025589,5.128496232740284e-05,IqpSimulator
2.1015,0.000127824486516,2.663309948770109e-05,IqpSimulator
2.22265,0.0001914486942165,5.227660451889855e-05,IqpSimulator
2.34381,0.000211648948008,4.314635097524504e-05,IqpSimulator
2.46496,0.000234262232315,4.487700821105264e-05,IqpSimulator
2.58612,0.0002190947489372,4.7981276357762175e-05,IqpSimulator
2.70727,0.0001993386163349,6.94268496513831e-05,IqpSimulator
2.82843,0.0001184182511904,5.9349320312721575e-05,IqpSimulator
1.73803,-0.0001258376024417,0.0002807451358916,True
1.85919,-0.0001249787469018,0.0002841135951467,True
1.98034,-0.0001240843010389,0.0002866223753852,True
2.1015,-0.0001231560061215,0.0002883814578375,True
2.22265,-0.0001221958415667,0.0002894883627614,True
2.34381,-0.0001212057579485,0.0002900300744958,True
2.46496,-0.0001201883877602,0.0002900831494708,True
2.58612,-0.0001191463438061,0.0002897150375289,True
2.70727,-0.0001180827926022,0.0002889849578729,True
2.82843,-0.0001170006618672,0.0002879445807619,True
1.73803,0.0686469698197311,0.0005787001699919,Random
1.85919,0.0673243552103712,0.0005658041796095,Random
1.98034,0.0657787191423679,0.0005517243305367,Random
2.1015,0.0640796144264096,0.0005368945292052,Random
2.22265,0.0622818496519551,0.0005216567627709,Random
2.34381,0.060427325493281,0.0005062693804139,Random
2.46496,0.0585486907308091,0.0004909325792951,Random
2.58612,0.0566701780839985,0.0004757913212614,Random
2.70727,0.0548104940394354,0.000460956057428,Random
2.82843,0.0529829146016554,0.0004465013799799,Random
1.73803,0.0435475639189894,0.0007863332776812,IqpSimulatorBitflip
1.85919,0.0428924852197324,0.000767185136976,IqpSimulatorBitflip
1.98034,0.0421095552495478,0.0007486144748637,IqpSimulatorBitflip
2.1015,0.0412367031958917,0.0007310683936642,IqpSimulatorBitflip
2.22265,0.0403037549553124,0.0007148159373393,IqpSimulatorBitflip
2.34381,0.0393335534159238,0.0006999840099614,IqpSimulatorBitflip
2.46496,0.0383439521673217,0.0006866062534421,IqpSimulatorBitflip
2.58612,0.0373483027614559,0.000674643473191,IqpSimulatorBitflip
2.70727,0.0363569990563319,0.0006640159192102,IqpSimulatorBitflip
2.82843,0.0353775350538504,0.0006546131578279,IqpSimulatorBitflip
1.73803,0.0025376272396782,0.0007041960864901,RestrictedBoltzmannMachine
1.85919,0.0026093053795085,0.0007236311856896,RestrictedBoltzmannMachine
1.98034,0.0026697447162448,0.0007402344429649,RestrictedBoltzmannMachine
2.1015,0.0027201211898359,0.0007542485846962,RestrictedBoltzmannMachine
2.22265,0.0027615139448619,0.0007659112947844,RestrictedBoltzmannMachine
2.34381,0.0027949294838197,0.000775456383363,RestrictedBoltzmannMachine
2.46496,0.0028212713847564,0.0007831011169204,RestrictedBoltzmannMachine
2.58612,0.0028413645354551,0.0007890499975884,RestrictedBoltzmannMachine
2.70727,0.0028559418615459,0.0007934885547745,RestrictedBoltzmannMachine
2.82843,0.0028656637472763,0.0007965872565644,RestrictedBoltzmannMachine
1.73803,0.0007670817236657,0.0002989687237768,DeepEBM
1.85919,0.0007886610495549,0.0003068589821685,DeepEBM
1.98034,0.0008062106040491,0.0003137903946407,DeepEBM
2.1015,0.0008202312583806,0.0003197963212189,DeepEBM
2.22265,0.0008311710652083,0.0003249253815661,DeepEBM
2.34381,0.0008394341338364,0.0003292379159364,DeepEBM
2.46496,0.0008453752415978,0.0003327972817161,DeepEBM
2.58612,0.0008493087674025,0.0003356691235772,DeepEBM
2.70727,0.0008515085879896,0.0003379166366347,DeepEBM
2.82843,0.0008522148666257,0.0003396010119315,DeepEBM
1.31834,0.0001569348981303,4.2606666293353e-05,IqpSimulator
1.35873,0.0001897337540491,4.8892519516592416e-05,IqpSimulator
1.39911,0.0001852668107154,4.131012869702092e-05,IqpSimulator
1.43949,0.000152132289638,4.107867858627436e-05,IqpSimulator
1.47988,0.0001939769573624,3.451547749274314e-05,IqpSimulator
1.52026,0.0002027068880692,3.63260797223544e-05,IqpSimulator
1.56064,0.0001382011818182,4.8363320254662495e-05,IqpSimulator
1.60103,0.0001756461826646,5.92493415957744e-05,IqpSimulator
1.64141,0.0001443051587264,5.017709705407104e-05,IqpSimulator
1.68179,0.000262586272665,6.092501861881131e-05,IqpSimulator
1.31834,0.0443987703068921,0.0011654481310259,IqpSimulatorBitflip
1.35873,0.0442882269551615,0.0011738050830135,IqpSimulatorBitflip
1.39911,0.0440313656142255,0.0011801125368112,IqpSimulatorBitflip
1.43949,0.0436471550964256,0.0011846961975651,IqpSimulatorBitflip
1.47988,0.0431535171814639,0.001187821580955,IqpSimulatorBitflip
1.52026,0.0425675579530347,0.0011896978941249,IqpSimulatorBitflip
1.56064,0.0419046638737004,0.0011904892160214,IqpSimulatorBitflip
1.60103,0.0411787055813164,0.0011903186833025,IqpSimulatorBitflip
1.64141,0.0404026522217339,0.0011892777466042,IqpSimulatorBitflip
1.68179,0.0395875244036713,0.0011874333285817,IqpSimulatorBitflip
1.31834,0.0039917920200061,0.0007675225234413,RestrictedBoltzmannMachine
1.35873,0.0039444630734568,0.0007682645026334,RestrictedBoltzmannMachine
1.39911,0.0038933774914808,0.0007682987476177,RestrictedBoltzmannMachine
1.43949,0.0038392554002151,0.0007676329619989,RestrictedBoltzmannMachine
1.47988,0.0037827122866575,0.0007662765445448,RestrictedBoltzmannMachine
1.52026,0.0037243156047156,0.0007642436293302,RestrictedBoltzmannMachine
1.56064,0.0036645117852409,0.000761551673694,RestrictedBoltzmannMachine
1.60103,0.0036036772553567,0.0007582218432198,RestrictedBoltzmannMachine
1.64141,0.0035421748893388,0.0007542819710166,RestrictedBoltzmannMachine
1.68179,0.0034802721063596,0.0007497611180329,RestrictedBoltzmannMachine
1.31834,0.0003723616653049,0.000267750703563,DeepEBM
1.35873,0.0003742088607158,0.0002717953624616,DeepEBM
1.39911,0.0003749505596913,0.0002753485075589,DeepEBM
1.43949,0.0003747022540459,0.0002783999429591,DeepEBM
1.47988,0.0003735730534637,0.0002809470516992,DeepEBM
1.52026,0.0003716666740675,0.0002829926933877,DeepEBM
1.56064,0.0003690791223992,0.000284548006618,DeepEBM
1.60103,0.0003658984650847,0.0002856289041627,DeepEBM
1.64141,0.0003622078781802,0.00028625474775,DeepEBM
1.68179,0.0003580809966464,0.0002864489390187,DeepEBM
1.31834,-0.0001258376693244,0.0002807448303993,True
1.35873,-0.0001250729528856,0.0002837943215383,True
1.39911,-0.0001242554984923,0.0002862100773801,True
1.43949,-0.000123384026338,0.0002880184719464,True
1.47988,-0.0001224572799523,0.0002892494702515,True
1.52026,-0.0001214751167605,0.0002899353174207,True
1.56064,-0.0001204373324286,0.0002901113704833,True
1.60103,-0.0001193443775434,0.0002898137398452,True
1.64141,-0.0001181982399069,0.0002890793207585,True
1.68179,-0.0001170007734194,0.0002879447014774,True
1.31834,0.0682102930741318,0.0005622029884871,Random
1.35873,0.0670332686197997,0.0005492724110143,Random
1.39911,0.0656316401450153,0.0005351394467731,Random
1.43949,0.0640462296590699,0.000520066266126,Random
1.47988,0.0623144369807658,0.0005042922723821,Random
1.52026,0.0604713565159951,0.0004880444115038,Random
1.56064,0.0585470464126145,0.0004715126692224,Random
1.60103,0.05656774769725,0.0004548615984702,Random
1.64141,0.0545575904791279,0.0004382439603112,Random
1.68179,0.0525358686709523,0.0004217774347717,Random
0.6,7.933208434145115e-05,3.5299264712451824e-05,IqpSimulator
0.67778,0.0001013374037324,3.227481144675472e-05,IqpSimulator
0.75556,8.830643889045533e-05,2.054060445420525e-05,IqpSimulator
0.83333,0.0001103410068898,2.212938664000955e-05,IqpSimulator
0.91111,0.0001780895615062,2.691396962327468e-05,IqpSimulator
0.98889,0.0001872340315963,2.616759999726154e-05,IqpSimulator
1.06667,0.0001927970379683,4.502385796707044e-05,IqpSimulator
1.14444,0.0002372970416384,5.4971343593912056e-05,IqpSimulator
1.22222,0.0001809712474558,4.631312890037366e-05,IqpSimulator
1.3,0.0002899191316249,5.184276479267442e-05,IqpSimulator
0.6,0.0161151864165403,0.000455515304536,IqpSimulatorBitflip
0.67778,0.0201042617823944,0.0005443521886033,IqpSimulatorBitflip
0.75556,0.0246667737430941,0.0006518803439643,IqpSimulatorBitflip
0.83333,0.0293831754806939,0.0007654864422381,IqpSimulatorBitflip
0.91111,0.0338275964582964,0.0008731178295751,IqpSimulatorBitflip
0.98889,0.0376548622500115,0.0009661425364102,IqpSimulatorBitflip
1.06667,0.0406527315288674,0.0010404760818944,IqpSimulatorBitflip
1.14444,0.0427439400159966,0.0010959628024905,IqpSimulatorBitflip
1.22222,0.0439589247635806,0.0011349709643558,IqpSimulatorBitflip
1.3,0.0443953756359907,0.001160876106306,IqpSimulatorBitflip
0.6,0.0031388888664915,0.0005814844459589,RestrictedBoltzmannMachine
0.67778,0.0034098676309273,0.0006228203496854,RestrictedBoltzmannMachine
0.75556,0.0036601040464315,0.000659699550694,RestrictedBoltzmannMachine
0.83333,0.0038660205217926,0.0006901861749373,RestrictedBoltzmannMachine
0.91111,0.0040150439360784,0.0007141377967155,RestrictedBoltzmannMachine
0.98889,0.0041047340923968,0.0007323833446585,RestrictedBoltzmannMachine
1.06667,0.0041400563327815,0.0007460248150981,RestrictedBoltzmannMachine
1.14444,0.0041298720764661,0.0007559864520244,RestrictedBoltzmannMachine
1.22222,0.004084068650221,0.000762862857904,RestrictedBoltzmannMachine
1.3,0.004011814826771,0.0007669500845452,RestrictedBoltzmannMachine
0.6,6.00029691265453e-05,0.0001424640880816,DeepEBM
0.67778,0.0001190903901089,0.0001589578889998,DeepEBM
0.75556,0.0001745774068995,0.0001757819237828,DeepEBM
0.83333,0.0002240475048638,0.0001916961805702,DeepEBM
0.91111,0.0002663958003571,0.0002064739806888,DeepEBM
0.98889,0.0003012218312998,0.0002202910388983,DeepEBM
1.06667,0.0003285909030574,0.0002332798053727,DeepEBM
1.14444,0.0003489044389968,0.0002453591705945,DeepEBM
1.22222,0.0003628172378145,0.0002562843667282,DeepEBM
1.3,0.0003711259353613,0.0002657571590293,DeepEBM
0.6,-0.0001284437971579,0.000145329353501,True
0.67778,-0.0001270463423559,0.0001598451971662,True
0.75556,-0.0001276293780746,0.000177251642657,True
0.83333,-0.0001287473778673,0.0001958339362451,True
0.91111,-0.0001295248754948,0.0002142088744124,True
0.98889,-0.0001296882929802,0.0002314140338954,True
1.06667,-0.0001292992246372,0.0002468220315855,True
1.14444,-0.0001285110568604,0.0002600352364944,True
1.22222,-0.0001274461043439,0.0002708355639982,True
1.3,-0.0001261676388851,0.0002791454081515,True
0.6,0.0291218877099642,0.0003927919061944,Random
0.67778,0.0361333765687737,0.0004417365730978,Random
0.75556,0.043915735534971,0.0004896743299494,Random
