sigma,loss,loss_std,model
1.97518,0.0016894919189441,0.000131491677222,IqpSimulator
2.05423,0.0016339999308363,0.0001146740835568,IqpSimulator
2.13329,0.0015409040302685,0.0001142867427542,IqpSimulator
2.21234,0.0016361502185258,0.0001246418023382,IqpSimulator
2.29139,0.0015882038514772,0.0001273894592038,IqpSimulator
2.37044,0.0015011432936581,0.0001409251317887,IqpSimulator
2.44949,0.0014049202721774,0.0001066584340419,IqpSimulator
1.97518,0.0157103810007946,0.0003494953127989,IqpSimulatorBitflip
2.05423,0.015096049784925,0.0003336983593265,IqpSimulatorBitflip
2.13329,0.0145151008288232,0.0003193062819426,IqpSimulatorBitflip
2.21234,0.0139659303212704,0.0003062125326473,IqpSimulatorBitflip
2.29139,0.0134466988719509,0.000294309724964,IqpSimulatorBitflip
2.37044,0.0129556675578891,0.0002834976887811,IqpSimulatorBitflip
2.44949,0.012491148016216,0.0002736819155826,IqpSimulatorBitflip
1.97518,-2.7898739623941072e-05,0.0004104834314547,True
2.05423,-3.362215137748259e-05,0.0004060892031458,True
2.13329,-3.881615416339579e-05,0.000401686159655,True
2.21234,-4.352866433746383e-05,0.0003972866389876,True
2.29139,-4.780476413003276e-05,0.0003928997684612,True
2.37044,-5.168447922621888e-05,0.0003885338757298,True
2.44949,-5.520390008064424e-05,0.000384196093669,True
1.97518,0.1213488779154181,0.001207652960393,Random
2.05423,0.1223940508548746,0.0012410659737837,Random
2.13329,0.1232612353314172,0.0012715888051521,Random
2.21234,0.1239660391659436,0.00129936034107,Random
2.29139,0.1245232356157726,0.0013245383339541,Random
2.37044,0.1249463396595476,0.0013472786489936,Random
2.44949,0.1252477793406796,0.001367735800802,Random
1.73803,0.0018255502809059,0.0001349258688106,IqpSimulator
1.81708,0.0017628120800647,0.0001121630509506,IqpSimulator
1.89613,0.0016581179236814,0.0001193853709075,IqpSimulator
1.73803,0.01777007136714,0.0004064734531197,IqpSimulatorBitflip
1.81708,0.017045985717149,0.0003857668142709,IqpSimulatorBitflip
1.89613,0.0163598480024821,0.0003668127690291,IqpSimulatorBitflip
1.73803,-6.973160027340386e-06,0.000423476709961,True
1.81708,-1.4637787223610588e-05,0.0004191932582274,True
1.89613,-2.1590744417647467e-05,0.0004148564328447,True
1.73803,0.1169690198974246,0.0010888570532107,Random
1.81708,0.1186550725983986,0.0011316388906733,Random
1.89613,0.120108608007245,0.0011712135500837,Random
1.73803,0.01476541061074,0.0011132202714898,RestrictedBoltzmannMachine
1.81708,0.0146370323314003,0.0011084552584786,RestrictedBoltzmannMachine
1.89613,0.014500812016867,0.001102842819948,RestrictedBoltzmannMachine
1.97518,0.0143584087804151,0.0010965069520753,RestrictedBoltzmannMachine
2.05423,0.0142112279478501,0.0010895566290319,RestrictedBoltzmannMachine
2.13329,0.0140604398227673,0.0010820865139626,RestrictedBoltzmannMachine
2.21234,0.0139070887617192,0.0010741823434877,RestrictedBoltzmannMachine
2.29139,0.0137520059892944,0.0010659166311017,RestrictedBoltzmannMachine
2.37044,0.0135959088734363,0.0010573536365712,RestrictedBoltzmannMachine
2.44949,0.0134394017972569,0.0010485495566085,RestrictedBoltzmannMachine
1.73803,0.002922185913548,0.0005693222020318,DeepEBM
1.81708,0.002889589628597,0.0005630387613905,DeepEBM
1.89613,0.0028558371460298,0.0005566634896807,DeepEBM
1.97518,0.0028212639782523,0.0005502323195796,DeepEBM
2.05423,0.0027861461610724,0.00054377488976,DeepEBM
2.13329,0.0027507060833553,0.00053731483227,DeepEBM
2.21234,0.0027151389329898,0.0005308739341968,DeepEBM
2.29139,0.0026795927307388,0.0005244679575386,DeepEBM
2.37044,0.0026441919846846,0.0005181105045577,DeepEBM
