sigma,loss,loss_std,model
97.74979,0.003198872477222,0.0005775651706002,IqpSimulator
88.15556,0.0032874179237751,0.0005720783624298,IqpSimulator
78.56134,0.00363022796186,0.0005909693409527,IqpSimulator
68.96711,0.0038330957323255,0.000633684456181,IqpSimulator
59.37288,0.0041042247000887,0.000621861657907,IqpSimulator
49.77866,0.0042319624463689,0.0006241997991809,IqpSimulator
40.18443,0.0045331801164095,0.0006039447960235,IqpSimulator
30.59021,0.0044923640643142,0.0005131738814492,IqpSimulator
20.99598,0.0037969727392479,0.0003315581135165,IqpSimulator
11.40175,0.001974335766604,0.0001204945917689,IqpSimulator
97.74979,0.0046806283928181,0.0006285174080592,IqpSimulatorBitflip
88.15556,0.0050807648578242,0.0006487690711489,IqpSimulatorBitflip
78.56134,0.0055401805454249,0.0006660918398863,IqpSimulatorBitflip
68.96711,0.006065139145309,0.0006775468393282,IqpSimulatorBitflip
59.37288,0.0066543433392779,0.000678120966624,IqpSimulatorBitflip
49.77866,0.0072829214897727,0.0006593091912694,IqpSimulatorBitflip
40.18443,0.0078578343716146,0.0006071730587329,IqpSimulatorBitflip
30.59021,0.0080913063061548,0.0005019799974583,IqpSimulatorBitflip
20.99598,0.0071627348782174,0.0003318188996955,IqpSimulatorBitflip
11.40175,0.0034150858671094,0.0001343254291127,IqpSimulatorBitflip
97.74979,0.0027768318016375,0.0006616154962289,True
88.15556,0.0028931596582997,0.0006862801932324,True
78.56134,0.0030059677647143,0.0007091468934084,True
68.96711,0.0031058254041718,0.0007276528597004,True
59.37288,0.0031752468987975,0.0007372405190143,True
49.77866,0.0031816767495468,0.0007297618373377,True
40.18443,0.0030642670515267,0.0006906815920561,True
30.59021,0.0027118796428388,0.0005951671898298,True
20.99598,0.0019511934615835,0.0004096413588779,True
11.40175,0.0007377589820918,0.0001441320382525,True
97.74979,0.3801575620175594,0.0023005483895098,Random
88.15556,0.3714439923059739,0.0023654268957945,Random
78.56134,0.3570205646132902,0.0024167347211057,Random
68.96711,0.3350237485259401,0.0024428334285197,Random
59.37288,0.3031790832274464,0.0024242790372178,Random
49.77866,0.2590369957584065,0.002328641138541,Random
40.18443,0.2008617902896826,0.0021031798532442,Random
30.59021,0.1301294240760183,0.0016711938489229,Random
20.99598,0.0571994487534514,0.000972231119319,Random
11.40175,0.0083978642240837,0.0002161491735426,Random
97.74979,0.0030690485930016,0.0006193504111471,Noise_0.1
88.15556,0.0032066955293674,0.0006418976891954,Noise_0.1
78.56134,0.0033434955574783,0.0006625849017708,Noise_0.1
68.96711,0.0034701537149728,0.0006789513681691,Noise_0.1
59.37288,0.0035688776376445,0.0006866515554045,Noise_0.1
49.77866,0.0036055863016157,0.0006779728392256,Noise_0.1
40.18443,0.0035146265490228,0.0006392810523999,Noise_0.1
30.59021,0.0031711541778888,0.0005476189708741,Noise_0.1
20.99598,0.0023648385031653,0.000373073684312,Noise_0.1
11.40175,0.0009793107721431,0.0001294921417777,Noise_0.1
97.74979,0.0038649299080265,0.0006157111220307,Noise_0.2
88.15556,0.0040624966579072,0.0006382260465362,Noise_0.2
78.56134,0.0042668973742751,0.0006589227139932,Noise_0.2
68.96711,0.0044692080823088,0.0006753646897316,Noise_0.2
59.37288,0.0046506529926888,0.0006832437038721,Noise_0.2
49.77866,0.0047724245305275,0.0006749030372058,Noise_0.2
40.18443,0.0047540389629732,0.0006367851290145,Noise_0.2
30.59021,0.0044283542383171,0.0005460046884077,Noise_0.2
