sigma,loss,loss_std,model
10.0,7.383643623110359e-07,3.280485129777137e-08,IqpSimulatorBitflip
20.0,0.0002615719545164,8.866581817329411e-06,IqpSimulatorBitflip
30.0,0.0015687556520479,5.4140411301968605e-05,IqpSimulatorBitflip
40.0,0.0034021798729215,0.0001284443555288,IqpSimulatorBitflip
50.0,0.0049976180201839,0.0002096280264779,IqpSimulatorBitflip
60.0,0.0061132223263519,0.000284424532561,IqpSimulatorBitflip
70.0,0.0067862742685943,0.0003477940834941,IqpSimulatorBitflip
80.0,0.0071256698715638,0.0003989880934264,IqpSimulatorBitflip
90.0,0.0072344339390229,0.0004390580974556,IqpSimulatorBitflip
100.0,0.0071914783992971,0.0004696286942285,IqpSimulatorBitflip
10.0,2.132755092747861e-05,4.230510095080517e-05,IqpSimulator
20.0,6.119102367159431e-05,6.972956942587915e-05,IqpSimulator
30.0,0.0004146600928317,8.500260103726122e-05,IqpSimulator
40.0,0.0007408207266444,8.763133437418255e-05,IqpSimulator
50.0,0.0009302404720979,0.0001230396401579,IqpSimulator
60.0,0.0010586099831508,0.0001264455621252,IqpSimulator
70.0,0.0010021830141814,0.0001487543624472,IqpSimulator
80.0,0.0011134355243106,0.0001657122490193,IqpSimulator
90.0,0.0010388882132063,0.0001760942162876,IqpSimulator
100.0,0.0011151062903046,0.0002119186899768,IqpSimulator
10.0,6.186297550994528e-07,3.478624021876795e-08,GAN
20.0,0.0001001920477141,5.0393422155775855e-06,GAN
30.0,0.0005404375636713,3.244229041354479e-05,GAN
40.0,0.0011922896883374,8.243080474705915e-05,GAN
50.0,0.0018419966750881,0.0001408642463428,GAN
60.0,0.0023909779775391,0.0001968436773027,GAN
70.0,0.0028186081702148,0.0002453747122553,GAN
80.0,0.0031358000317598,0.0002851502653438,GAN
90.0,0.0033621402819668,0.0003165951380776,GAN
100.0,0.0035170392235369,0.0003407788347188,GAN
10.0,5.651384207481683e-07,1.1209081491138616e-07,RBM
20.0,0.0002452779049244,5.022049597120511e-05,RBM
30.0,0.0018748591941025,0.000394419551756,RBM
40.0,0.0050083107024058,0.0010691630614275,RBM
50.0,0.008745509934279,0.0018827608591779,RBM
60.0,0.0123633889032693,0.0026756881546078,RBM
70.0,0.0155211417351709,0.0033709840260062,RBM
80.0,0.0181226282119634,0.0039458642458896,RBM
90.0,0.0201887062109311,0.0044038686768774,RBM
100.0,0.0217850497536311,0.0047588356432674,RBM
10.0,1.422811715204457e-09,9.89852858001843e-09,True
20.0,8.589307583126295e-07,3.6218872716545e-06,True
30.0,9.956713875516064e-06,2.750413738205716e-05,True
40.0,3.104137339635139e-05,7.334639467857106e-05,True
50.0,5.82557220203974e-05,0.0001278812057895,True
60.0,8.563206433068738e-05,0.0001805339176071,True
70.0,0.0001100420242898,0.0002263752255621,True
80.0,0.0001304268649438,0.000264052491451,True
90.0,0.0001467797404796,0.0002939067171343,True
100.0,0.0001595262117873,0.0003169183615093,True
10.0,8.382425144153408e-07,3.1609478932750315e-08,Random
20.0,0.000479642514759,6.860295524785553e-06,Random
30.0,0.0041701942874966,3.8613981807962354e-05,Random
40.0,0.0118267004169171,0.0001005625584721,Random
50.0,0.0213209511741646,0.0001849215772541,Random
60.0,0.0307183878876379,0.000276378068061,Random
70.0,0.0390393462133393,0.0003634525858036,Random
80.0,0.0459673022095436,0.0004404150531309,Random
90.0,0.0515182439120724,0.0005054213799104,Random
100.0,0.0558432732965502,0.0005586842323533,Random
100.37479,0.0001599410214011,0.0003259150010483,True
91.24047,0.0001485460412052,0.000304828725124,True
82.10615,0.0001341956334352,0.0002780018538479,True
72.97183,0.0001165338828877,0.0002446238161493,True
63.83751,9.544112617558136e-05,0.0002042308653525,True
54.70319,7.13646287271448e-05,0.0001572741331645,True
45.56887,4.5887042834795616e-05,0.0001061532443085,True
36.43454,2.244061915051606e-05,5.6711869073178114e-05,True
27.30022,6.220355437447541e-06,1.8961148651733308e-05,True
18.1659,4.004604655325346e-07,2.0087537245007155e-06,True
100.37479,0.0559840125876594,0.0005750255200505,Random
91.24047,0.0521176245914252,0.0005259667683301,Random
82.10615,0.0472469600144562,0.000466937470102,Random
72.97183,0.0412471093864843,0.0003975867974624,Random
63.83751,0.0340666520073544,0.0003188070046789,Random
54.70319,0.025832800227596,0.0002338193759266,Random
45.56887,0.0170338771032541,0.000149553904799,Random
36.43454,0.0087590867655966,7.71353377866923e-05,Random
27.30022,0.0027307429361049,2.7817752361260628e-05,Random
18.1659,0.0002484651504759,4.187705973994959e-06,Random
100.37479,0.0010682936844512,0.0001798134503634,IqpSimulator
91.24047,0.0010736888408131,0.0001881252942207,IqpSimulator
82.10615,0.001183492681789,0.0001639521469439,IqpSimulator
72.97183,0.001073305952715,0.0001516061815019,IqpSimulator
63.83751,0.0011293343408509,0.000130677085395,IqpSimulator
54.70319,0.0009958764646305,0.0001224086987348,IqpSimulator
45.56887,0.0008180130883455,0.0001186238548621,IqpSimulator
36.43454,0.0005044995704951,0.0001068914341443,IqpSimulator
27.30022,0.0001593909583971,5.711074578458339e-05,IqpSimulator
18.1659,0.0001161472578037,6.178941230840073e-05,IqpSimulator
100.37479,0.0071365225843016,0.0004685765354215,IqpSimulatorBitflip
91.24047,0.0071858336589888,0.0004422179385217,IqpSimulatorBitflip
82.10615,0.0071164541829733,0.00040815261996,IqpSimulatorBitflip
72.97183,0.0068717819468758,0.0003650529937253,IqpSimulatorBitflip
63.83751,0.0063778029332476,0.0003118297165827,IqpSimulatorBitflip
54.70319,0.0055493153772517,0.000248248725271,IqpSimulatorBitflip
45.56887,0.0043203612610963,0.0001761961007413,IqpSimulatorBitflip
36.43454,0.0027332359173134,0.000101952444451,IqpSimulatorBitflip
27.30022,0.0011162668668312,3.896563854751129e-05,IqpSimulatorBitflip
18.1659,0.000146669025688,5.207232147956421e-06,IqpSimulatorBitflip
100.37479,0.00327314100022,0.0001942262542308,GAN
91.24047,0.0031539519548484,0.0001824310229366,GAN
82.10615,0.0029814359138855,0.0001673157430168,GAN
72.97183,0.0027415736136098,0.000148374128597,GAN
63.83751,0.0024191691657576,0.0001252672842085,GAN
54.70319,0.0020015523042393,9.812996360173827e-05,GAN
45.56887,0.0014883063464791,6.814201047115292e-05,GAN
36.43454,0.0009128724734403,3.839608095276933e-05,GAN
27.30022,0.0003780164311534,1.448235999090966e-05,GAN
18.1659,5.8550025298655335e-05,2.2027429088618635e-06,GAN
100.37479,0.0009835789925854,0.0003994776909701,RBM
91.24047,0.000944504864957,0.0003788155304448,RBM
82.10615,0.0008887925776723,0.0003512778499426,RBM
72.97183,0.0008122481030369,0.0003155035287403,RBM
63.83751,0.0007104923119192,0.0002702920892994,RBM
54.70319,0.0005802678078791,0.0002152095883739,RBM
45.56887,0.0004226996356616,0.0001518812645676,RBM
36.43454,0.0002501697972047,8.632872062497066e-05,RBM
27.30022,9.642882796692108e-05,3.156788083591048e-05,RBM
18.1659,1.2424523050865556e-05,3.797169726276046e-06,RBM
10.01872,0.0010998287500181,0.0002388312235405,IqpSimulator
9.3791,0.0010329377142456,0.0001703218733511,IqpSimulator
8.73948,0.0010424571841284,0.0001707019427855,IqpSimulator
8.09986,0.0010837406333014,0.0001293094902483,IqpSimulator
7.46024,0.001037429350145,0.0001295514559199,IqpSimulator
6.82063,0.000915911723226,0.0001014117475009,IqpSimulator
6.18101,0.0005813152511307,7.836657555641061e-05,IqpSimulator
5.54139,0.0004135329827801,7.942374996875226e-05,IqpSimulator
4.90177,0.0002640424412213,7.769230308480668e-05,IqpSimulator
4.26215,6.591762078057401e-05,7.93388963396048e-05,IqpSimulator
10.01872,0.0071365229909111,0.0004685764360411,IqpSimulatorBitflip
9.3791,0.0071771976803266,0.0004309679319422,IqpSimulatorBitflip
8.73948,0.0069878563718883,0.0003822627553205,IqpSimulatorBitflip
8.09986,0.0064969915154974,0.0003229656954127,IqpSimulatorBitflip
7.46024,0.0056536580605034,0.0002553291613537,IqpSimulatorBitflip
6.82063,0.0044674934712092,0.0001839666953262,IqpSimulatorBitflip
6.18101,0.0030590969427025,0.000115995831846,IqpSimulatorBitflip
5.54139,0.0016842607551238,5.996420825643798e-05,IqpSimulatorBitflip
4.90177,0.0006581595693711,2.276317503119417e-05,IqpSimulatorBitflip
4.26215,0.0001466701787286,5.207271732814036e-06,IqpSimulatorBitflip
10.01872,0.0034321942257595,0.0002729429495217,GAN
9.3791,0.0032412404443116,0.0002500413173662,GAN
8.73948,0.0029614967946672,0.0002205005043697,GAN
8.09986,0.0025865004634378,0.0001847521809812,GAN
7.46024,0.0021217255212218,0.0001443652745983,GAN
6.82063,0.0015926160583341,0.00010238415332,GAN
6.18101,0.0010511142944848,6.327299017539895e-05,GAN
5.54139,0.0005727094048976,3.1998781620851925e-05,GAN
4.90177,0.0002322755911116,1.1982238079536905e-05,GAN
4.26215,5.867926992725305e-05,2.8215637961487968e-06,GAN
10.01872,0.001223709663169,0.000426944817138,RBM
9.3791,0.0011442645775309,0.0003954170568295,RBM
8.73948,0.0010326667780139,0.0003529873224481,RBM
8.09986,0.0008877931866243,0.0002997351021239,RBM
7.46024,0.0007133864293882,0.0002374960031525,RBM
6.82063,0.0005207776018913,0.0001706482592335,RBM
6.18101,0.0003305502420761,0.0001064128865633,RBM
5.54139,0.0001700562535277,5.369642150292841e-05,RBM
4.90177,6.305901806594408e-05,1.9516009593739978e-05,RBM
4.26215,1.370527452208884e-05,4.164101827967472e-06,RBM
10.01872,0.0001599409778405,0.0003259149208753,True
9.3791,0.0001437649945205,0.0002959217803374,True
8.73948,0.0001235236751971,0.0002578800585929,True
8.09986,9.978755037900395e-05,0.0002126051465693,True
7.46024,7.397921315830981e-05,0.0001624261098758,True
6.82063,4.852469563641788e-05,0.0001115392632815,True
6.18101,2.6593787964592983e-05,6.574052727209643e-05,True
5.54139,1.1093401744807904e-05,3.0938564798863495e-05,True
4.90177,3.004198415464945e-06,1.033784271316688e-05,True
4.26215,4.004646177005984e-07,2.0087704721356512e-06,True
10.01872,0.0556832117417992,0.0006372033052136,Random
9.3791,0.0502356377158386,0.0005605329795081,Random
8.73948,0.0434104653040541,0.0004700428136512,Random
8.09986,0.0353870613606605,0.0003698635297204,Random
7.46024,0.0266192480332035,0.0002673369349527,Random
6.82063,0.0178855328722963,0.0001726484558484,Random
6.18101,0.0102150302717778,9.645298747301642e-05,Random
5.54139,0.0045881145086277,4.516342170326741e-05,Random
4.90177,0.0014278896384146,1.6866896340342187e-05,Random
4.26215,0.0002482433700967004,4.198951839770943e-06,Random
