sigma,loss,loss_std,model
124.74983,0.0258697572730752,0.0008189849549735,IqpSimulator
112.54053,0.0245968726080494,0.0006760298273028,IqpSimulator
100.33122,0.0228209031515014,0.0005946784782097,IqpSimulator
88.12191,0.0208286397402209,0.0004855762228736,IqpSimulator
75.9126,0.0181641740693624,0.0004146438137557,IqpSimulator
63.7033,0.01443483603776,0.0002689258828255,IqpSimulator
51.49399,0.0103689715890686,0.0002055547803817,IqpSimulator
39.28468,0.0060738347598533,0.00010552292323,IqpSimulator
27.07538,0.0022038153485974,3.731552608615979e-05,IqpSimulator
14.86607,0.0002369830452076,1.304787795024806e-05,IqpSimulator
124.74983,0.0298756322324043,0.0009303048041426,IqpSimulatorBitflip
112.54053,0.0278696820492154,0.0008432115273503,IqpSimulatorBitflip
100.33122,0.0253749483389539,0.0007374372799104,IqpSimulatorBitflip
88.12191,0.0223559845057371,0.000612015991379,IqpSimulatorBitflip
75.9126,0.0188277056900263,0.0004684239182682,IqpSimulatorBitflip
63.7033,0.0148975027056238,0.0003132133276768,IqpSimulatorBitflip
51.49399,0.0108004920770121,0.0001624337277575,IqpSimulatorBitflip
39.28468,0.0068458020087803,4.887462091326428e-05,IqpSimulatorBitflip
27.07538,0.0031826644868324,2.327851731453973e-05,IqpSimulatorBitflip
14.86607,0.0003508139242533,4.012700510282249e-06,IqpSimulatorBitflip
124.74983,0.6187428431581822,0.0049878582884194,RestrictedBoltzmannMachine
112.54053,0.5942602475251221,0.004725467287262,RestrictedBoltzmannMachine
100.33122,0.5620263608425086,0.0043901875881314,RestrictedBoltzmannMachine
88.12191,0.5204247351954783,0.0039696542038558,RestrictedBoltzmannMachine
75.9126,0.467607574469278,0.0034524635251796,RestrictedBoltzmannMachine
63.7033,0.401548711506899,0.0028318047021321,RestrictedBoltzmannMachine
51.49399,0.3202617824834345,0.0021134468195342,RestrictedBoltzmannMachine
39.28468,0.2227573242645506,0.0013338698039453,RestrictedBoltzmannMachine
27.07538,0.113441130836716,0.0005991123439899,RestrictedBoltzmannMachine
14.86607,0.0200805072258371,0.0001110297285828,RestrictedBoltzmannMachine
124.74983,0.0657356971607004,0.0002637826014877,DeepGraphEBM
112.54053,0.0682841780510887,0.0002956623054971,DeepGraphEBM
100.33122,0.0700132320900797,0.0003282681399391,DeepGraphEBM
88.12191,0.0703186305580271,0.0003581160024593,DeepGraphEBM
75.9126,0.0682888284082177,0.0003785629365095,DeepGraphEBM
63.7033,0.0626201155450562,0.0003779959726701,DeepGraphEBM
51.49399,0.0516916028406671,0.0003388057407002,DeepGraphEBM
39.28468,0.0343875153011328,0.0002430833983659,DeepGraphEBM
27.07538,0.0134117380232612,0.000102005976336,DeepGraphEBM
14.86607,0.0007981362013833,6.973586588494263e-06,DeepGraphEBM
124.74983,1.2986385797614242e-05,9.72488543820857e-05,True
112.54053,1.181041387785242e-05,9.087099656853862e-05,True
100.33122,1.0362651585961446e-05,8.287883202934454e-05,True
88.12191,8.617598786583858e-06,7.305725734856298e-05,True
75.9126,6.576949355061035e-06,6.12727346017136e-05,True
63.7033,4.305685763645456e-06,4.760202318469948e-05,True
51.49399,2.0001553354027923e-06,3.2576857624049646e-05,True
39.28468,9.6550262063122e-08,1.7618474578133464e-05,True
27.07538,-6.844177576211321e-07,5.62510476148878e-06,True
14.86607,-1.538948559732644e-07,3.291044000148644e-07,True
124.74983,0.1586848206585363,0.0015278857423371,Random
112.54053,0.1571713570730767,0.0014415261318601,Random
100.33122,0.1527756916083479,0.0013308835856816,Random
88.12191,0.1443411026718785,0.0011918337979026,Random
75.9126,0.1304439504003981,0.0010207623641944,Random
63.7033,0.1096179379318523,0.0008160830815515,Random
51.49399,0.0811390635810122,0.0005815366269675,Random
39.28468,0.0470332954681039,0.0003334163228697,Random
27.07538,0.0155892448707543,0.0001154564265726,Random
14.86607,0.0008135796521156,7.065639779161154e-06,Random
10.35654,0.0242496409767454,0.0006581811831417,IqpSimulator
9.54393,0.0210337235277109,0.0004628620683127,IqpSimulator
8.73132,0.0180670860213194,0.0003952607981795,IqpSimulator
7.91871,0.0141088677016848,0.0002769891646204,IqpSimulator
7.1061,0.0101248111553782,0.0001572651896813,IqpSimulator
6.29348,0.0060808515918034,0.0001215608291064,IqpSimulator
5.48087,0.0029337932855993,6.015504899679789e-05,IqpSimulator
4.66826,0.001100503985407,3.3502286994466975e-05,IqpSimulator
3.85565,0.0002282845918171,1.3171547225689272e-05,IqpSimulator
10.35654,0.0268530987794823,0.0007998303969618,IqpSimulatorBitflip
9.54393,0.0231376396923251,0.0006442575974042,IqpSimulatorBitflip
8.73132,0.0189270645340864,0.0004724213211939,IqpSimulatorBitflip
7.91871,0.0145650048736254,0.0003004212128939,IqpSimulatorBitflip
7.1061,0.0104682311793452,0.0001511500914232,IqpSimulatorBitflip
6.29348,0.0069467266246974,5.0929788597909806e-05,IqpSimulatorBitflip
5.48087,0.0040452887083898,2.407888816244752e-05,IqpSimulatorBitflip
4.66826,0.0017347666172806,1.6920732455359705e-05,IqpSimulatorBitflip
3.85565,0.0003508097689905,4.0126541987318735e-06,IqpSimulatorBitflip
10.35654,0.5813541818246988,0.0045900688956645,RestrictedBoltzmannMachine
9.54393,0.531483554181582,0.0040802601701558,RestrictedBoltzmannMachine
8.73132,0.4691678997199264,0.0034674819836722,RestrictedBoltzmannMachine
7.91871,0.3955043091519568,0.0027765656932258,RestrictedBoltzmannMachine
7.1061,0.3129019478201389,0.0020512215007721,RestrictedBoltzmannMachine
6.29348,0.22553468563198,0.0013546202368496,RestrictedBoltzmannMachine
5.48087,0.1402856575331937,0.0007636149604985,RestrictedBoltzmannMachine
4.66826,0.0676857429910024,0.0003450379097529,RestrictedBoltzmannMachine
3.85565,0.0200803375149578,0.0001110289086694,RestrictedBoltzmannMachine
10.35654,0.0691624042268195,0.0003098310022664,DeepGraphEBM
9.54393,0.0704183536263617,0.0003514109191471,DeepGraphEBM
8.73132,0.0683828426368752,0.0003782278811981,DeepGraphEBM
7.91871,0.0619472267719916,0.0003765177594492,DeepGraphEBM
7.1061,0.0505201037347788,0.0003332771431895,DeepGraphEBM
6.29348,0.0349212817381971,0.0002463876834826,DeepGraphEBM
5.48087,0.0183633043845535,0.0001370378048926,DeepGraphEBM
4.66826,0.0059859181875561,4.747982963513462e-05,DeepGraphEBM
3.85565,0.0007981248107318,6.973491735158106e-06,DeepGraphEBM
10.35654,1.1219214586277726e-05,8.762465714305793e-05,True
9.54393,9.069278243320488e-06,7.561977423815457e-05,True
8.73132,6.634460814022858e-06,6.161019411583349e-05,True
7.91871,4.114637211838357e-06,4.6413522580444966e-05,True
7.1061,1.8214627181011024e-06,3.132439506048801e-05,True
6.29348,1.3602535558626673e-07,1.7992846850624188e-05,True
5.48087,-6.372316704146563e-07,8.047133745483419e-06,True
4.66826,-5.449124655134991e-07,2.3747177131048645e-06,True
3.85565,-1.5389325381485737e-07,3.290999557409149e-07,True
10.35654,0.1556515851071837,0.0013830382113069,Random
9.54393,0.1468080111688943,0.0012177113318864,Random
8.73132,0.1308772935353321,0.0010182885366483,Random
7.91871,0.1075658608827883,0.0007935263211401,Random
7.1061,0.0784980842861676,0.000559365678935,Random
6.29348,0.0479549533160866,0.0003392217003895,Random
5.48087,0.02222227278025,0.0001615562087126,Random
4.66826,0.0065034923162341,5.0532669913599166e-05,Random
3.85565,0.0008135677077085,7.065504782197715e-06,Random
3.82475,0.0004724669882733,1.4433081697169956e-05,IqpSimulator
4.6408,0.0011738465117683,3.738371728181013e-05,IqpSimulator
5.45684,0.0023309982576596,4.66869592523264e-05,IqpSimulator
6.27288,0.0044696552606684,9.12147567598693e-05,IqpSimulator
7.08893,0.0068433181594329,8.971441087186567e-05,IqpSimulator
7.90497,0.0091291660598132,0.0001687976674355,IqpSimulator
8.72102,0.0110359440808887,0.0001907333891133,IqpSimulator
9.53706,0.0114039452443378,0.0001970976822723,IqpSimulator
10.3531,0.0122012198500672,0.0002513572305509,IqpSimulator
11.16915,0.0119318253677011,0.0002404962968148,IqpSimulator
3.82475,0.0188805770974545,0.0001052217098047,RestrictedBoltzmannMachine
4.6408,0.0656052385359811,0.0003342699179185,RestrictedBoltzmannMachine
5.45684,0.1378963026236245,0.0007485239619876,RestrictedBoltzmannMachine
6.27288,0.2233109825883479,0.0013379988954655,RestrictedBoltzmannMachine
7.08893,0.3110865596711623,0.0020359509020761,RestrictedBoltzmannMachine
7.90497,0.3941729956717993,0.0027644358791209,RestrictedBoltzmannMachine
8.72102,0.468301613357059,0.0034591418212792,RestrictedBoltzmannMachine
9.53706,0.5310081490655347,0.0040754883689622,RestrictedBoltzmannMachine
10.3531,0.5811696693165503,0.0045881451456788,RestrictedBoltzmannMachine
11.16915,0.6187429842983458,0.0049878598275564,RestrictedBoltzmannMachine
3.82475,0.0007192338817464,6.314920008527863e-06,DeepGraphEBM
4.6408,0.0056928435522292,4.526727143084488e-05,DeepGraphEBM
5.45684,0.0179113875068101,0.0001338813396547,DeepGraphEBM
6.27288,0.0344940364874866,0.0002437442026322,DeepGraphEBM
7.08893,0.0502270569458013,0.0003318659024126,DeepGraphEBM
7.90497,0.0617957699158939,0.0003761604133849,DeepGraphEBM
8.72102,0.0683308879293586,0.0003784159035665,DeepGraphEBM
9.53706,0.07041660333616,0.000351716966516,DeepGraphEBM
10.3531,0.0691730318202442,0.0003100222248823,DeepGraphEBM
11.16915,0.0657356783234985,0.0002637823949347,DeepGraphEBM
3.82475,-1.4259176940460198e-07,2.982706980451308e-07,True
4.6408,-5.322822780255699e-07,2.255039294407587e-06,True
5.45684,-6.453421119115288e-07,7.816952675073347e-06,True
6.27288,1.0434607265498441e-07,1.7692847689429396e-05,True
7.08893,1.7782090349062477e-06,3.101838402012094e-05,True
