sigma,loss,loss_std,model
31.74934,0.0018875885591653,1.868480508056587e-05,IqpSimulator
29.47872,0.0019745684712167,2.4242746090285835e-05,IqpSimulator
27.20809,0.0020433690923956,2.2058367407292955e-05,IqpSimulator
24.93747,0.0021340112660497,1.8873206775756223e-05,IqpSimulator
22.66684,0.0021824634502169,2.2535035984965133e-05,IqpSimulator
20.39621,0.0022259149858642,2.110210408235748e-05,IqpSimulator
18.12559,0.0022627499048558,2.143757903971196e-05,IqpSimulator
15.85496,0.002295253337837,1.8832658232783853e-05,IqpSimulator
13.58433,0.0022332172526578,2.0253754326365664e-05,IqpSimulator
11.31371,0.0021696608185016,1.5753485395903477e-05,IqpSimulator
31.74934,0.0074255214639017,6.109917715752493e-05,IqpSimulatorBitflip
29.47872,0.0074557957681217,5.705684081765568e-05,IqpSimulatorBitflip
27.20809,0.007416357934668,5.239410501004484e-05,IqpSimulatorBitflip
24.93747,0.0072857547210352,4.708148939512137e-05,IqpSimulatorBitflip
22.66684,0.0070390678625371,4.1122158206210994e-05,IqpSimulatorBitflip
20.39621,0.0066497826585843,3.457712430547034e-05,IqpSimulatorBitflip
18.12559,0.0060946968492624,2.760308497935438e-05,IqpSimulatorBitflip
15.85496,0.00536440521825,2.0506350561474773e-05,IqpSimulatorBitflip
13.58433,0.0044825533204607,1.3812900820811871e-05,IqpSimulatorBitflip
11.31371,0.0035340559231632,8.339459104151783e-06,IqpSimulatorBitflip
31.74934,1.372433523246508e-05,5.398751679914174e-05,True
29.47872,1.262358209331571e-05,5.237545807246032e-05,True
27.20809,1.1434730323128803e-05,5.05546640913042e-05,True
24.93747,1.0177086765509465e-05,4.855940291040378e-05,True
22.66684,8.884268725845717e-06,4.645695401806971e-05,True
20.39621,7.609298216083165e-06,4.435775157220884e-05,True
18.12559,6.4292656353198e-06,4.24182929213051e-05,True
15.85496,5.446422430244527e-06,4.0823354839097096e-05,True
13.58433,4.778427502927229e-06,3.973207305836599e-05,True
11.31371,4.523944770696686e-06,3.919223810770001e-05,True
31.74934,0.0095227101453395,2.701380314298891e-05,Random
29.47872,0.0095450305719713,2.569662492494548e-05,Random
27.20809,0.0094702179839629,2.418411646208044e-05,Random
24.93747,0.0092688217234375,2.2454257588099795e-05,Random
22.66684,0.0089068504874777,2.048306079781092e-05,Random
20.39621,0.0083485597263735,1.8246834641783924e-05,Random
18.12559,0.0075635723035584,1.573002067865899e-05,Random
15.85496,0.0065418567856035,1.294720238278613e-05,Random
13.58433,0.0053208196358057,9.996471465059978e-06,Random
11.31371,0.0040239678404706,7.16749672094382e-06,Random
31.74934,0.0023181636823209,0.0001297827459396,RestrictedBoltzmannMachine
29.47872,0.0023002769554031,0.0001208778207643,RestrictedBoltzmannMachine
27.20809,0.0022752549910808,0.000110638821883,RestrictedBoltzmannMachine
24.93747,0.0022427767520208,9.901503350160966e-05,RestrictedBoltzmannMachine
22.66684,0.0022029911290889,8.603152137745009e-05,RestrictedBoltzmannMachine
20.39621,0.0021568364366171,7.184257032209369e-05,RestrictedBoltzmannMachine
18.12559,0.0021064607926241,5.680666920912084e-05,RestrictedBoltzmannMachine
15.85496,0.0020556673687902,4.158063964780253e-05,RestrictedBoltzmannMachine
13.58433,0.0020100982296237,2.720979019205625e-05,RestrictedBoltzmannMachine
11.31371,0.0019764140846646,1.5146232824480216e-05,RestrictedBoltzmannMachine
31.74934,0.0101865847426473,0.0004717308806529,DeepEBM
29.47872,0.0099983854881957,0.0004534996781475,DeepEBM
27.20809,0.0097522403305298,0.0004318591482554,DeepEBM
24.93747,0.0094404521811195,0.0004065727046096,DeepEBM
22.66684,0.0090561717525407,0.0003775506090454,DeepEBM
20.39621,0.0085949811537761,0.0003449721156042,DeepEBM
18.12559,0.0080574857474765,0.0003094619393235,DeepEBM
15.85496,0.0074532119424907,0.000272315503242,DeepEBM
13.58433,0.006805620856772,0.0002357068551467,DeepEBM
11.31371,0.0061560696500564,0.0002026640311627,DeepEBM
5.63466,0.001864983257321,2.927761828798856e-05,IqpSimulator
5.38231,0.0019717041951458,2.553580013176257e-05,IqpSimulator
5.12997,0.0020798904994002,2.0630595081185247e-05,IqpSimulator
4.87763,0.0021341637135903,1.7410766039337694e-05,IqpSimulator
4.62529,0.0022029085807608,2.525926877934118e-05,IqpSimulator
4.37295,0.0022500116217635,1.8047537372707908e-05,IqpSimulator
4.12061,0.0022787032160245,2.285568212308837e-05,IqpSimulator
3.86827,0.0022718556887432,2.4379546721617907e-05,IqpSimulator
3.61593,0.0022051458427418,1.8572311656403475e-05,IqpSimulator
3.36359,0.0021743986319315,1.3893235500841424e-05,IqpSimulator
5.63466,0.0074255200797924,6.109926513376753e-05,IqpSimulatorBitflip
5.38231,0.0074537140945315,5.6066050640192975e-05,IqpSimulatorBitflip
5.12997,0.0073772626917296,5.038650704737512e-05,IqpSimulatorBitflip
4.87763,0.0071774008701772,4.415199967413986e-05,IqpSimulatorBitflip
4.62529,0.0068399418525889,3.7516083164862907e-05,IqpSimulatorBitflip
4.37295,0.0063599692868393,3.0703022956116765e-05,IqpSimulatorBitflip
4.12061,0.0057475500048738,2.40092203469174e-05,IqpSimulatorBitflip
3.86827,0.0050332567620334,1.779230726731209e-05,IqpSimulatorBitflip
3.61593,0.0042709621288728,1.2443565123718234e-05,IqpSimulatorBitflip
3.36359,0.0035340672961426,8.339514166334274e-06,IqpSimulatorBitflip
5.63466,0.002318164022728,0.0001297829400381,RestrictedBoltzmannMachine
5.38231,0.0022953002865423,0.0001186992315095,RestrictedBoltzmannMachine
5.12997,0.0022633974366542,0.0001062409420042,RestrictedBoltzmannMachine
4.87763,0.0022235707851584,9.262512978371034e-05,RestrictedBoltzmannMachine
4.62529,0.0021777843859694,7.82045737267275e-05,RestrictedBoltzmannMachine
4.37295,0.0021289012300443,6.34796979514388e-05,RestrictedBoltzmannMachine
4.12061,0.002080560906515,4.908903858917027e-05,RestrictedBoltzmannMachine
3.86827,0.0020367888964606,3.5764755027782413e-05,RestrictedBoltzmannMachine
3.61593,0.0020012787708585,2.424427566238214e-05,RestrictedBoltzmannMachine
3.36359,0.0019764143990541,1.5146358994431831e-05,RestrictedBoltzmannMachine
5.63466,0.0101865885420943,0.0004717312710335,DeepEBM
5.38231,0.0099484775415511,0.0004489507987037,DeepEBM
5.12997,0.0096380629885646,0.000422375126469,DeepEBM
4.87763,0.0092558896298238,0.0003923863385025,DeepEBM
4.62529,0.0088070907562389,0.0003596889575604,DeepEBM
4.37295,0.0083025650436093,0.0003253519358686,DeepEBM
4.12061,0.0077597252571817,0.0002908016821879,DeepEBM
3.86827,0.007202260660942,0.0002577272785376,DeepEBM
3.61593,0.0066582474297142,0.0002278644870834,DeepEBM
3.36359,0.0061560773632381,0.0002026643986528,DeepEBM
5.63466,1.3724359956719668e-05,5.398755207650399e-05,True
5.38231,1.2364005783832566e-05,5.198429913570674e-05,True
5.12997,1.0947662446366552e-05,4.978921010588267e-05,True
4.87763,9.526070525962826e-06,4.750568260245131e-05,True
4.62529,8.162633982157497e-06,4.527013790722015e-05,True
4.37295,6.929755843189736e-06,4.323867734388352e-05,True
4.12061,5.901245610417591e-06,4.15586443937072e-05,True
3.86827,5.14016196474093e-06,4.032877541967847e-05,True
3.61593,4.683014716611294e-06,3.956458644004223e-05,True
